id,activity
1,figure skate
2,ringette (10 to 14 years)
3,public skate
4,aqua general deep
5,aqua general shallow
6,aqua general - therapeutic pool
7,aqua lite - therapeutic pool
8,lane swim
9,public swim - 25 metre pool only
10,public swim - therapeutic pool
11,weight and cardio room
12,pilates
13,cardio and strength
14,cardio and strength 50+
15,core conditioning
16,zumba
17,indoor cycling
18,yoga
19,hiit
20,strength
21,20/20/20
22,"racquetball court 4, 6, and 8"
23,"squash courts 1, 2, 3, 5, 7 and 9"
24,skate 50+
25,public swim
26,aquafit general
27,family skate
28,aquafit
29,table tennis
30,open gym
31,basketball - child
32,basketball - youth
33,basketball - adult
34,adult skate
35,preschool swim
36,swim 50+
37,public swim with slide
38,public swim with no slide
39,aqua general - shallow/deep combo
40,alternate needs swim
41,step and strength
42,yoga - yin
43,tmc
44,bootcamp
45,drums alive
46,the groove method
47,badminton 16+
48,badminton - family
49,pickleball
50,basketball - youth (13 to 14 years)
51,basketball - youth (15 to 17 years)
52,volleyball - youth (13 to 17 years)
53,volleyball - adult
54,pick-up hockey 35+
55,billiards
56,ukulele
57,mah jong
58,public swim - women's only
59,intervals
60,strength 50+
61,yoga 50+
62,zumba gold
63,zumba toning
64,pickleball - intermediate
65,badminton
66,kindergym
67,stick and puck - preschool and child
68,badminton - youth
69,pickleball - family
70,open gym - family
71,open gym - child (7 to 12 years old)
72,open gym - youth (13 to 17 years old)
73,lane swim - shared pool
74,preschool swim - therapeutic pool
75,public swim - therapeutic pool (reduced capacity)
76,public swim - 25m pool
77,aqua lite - warm pool
78,sauna
79,zumba gold 50+
80,badminton family - parent with child
81,pickleball 16+
82,pickleball 50+
83,pickleball family - parent with child
84,basketball 12+
85,basketball 16+
86,basketball family - parent with child
87,volleyball 16+
88,child hockey (6 to 12 years)
89,ringette (12 to 16 years)
90,stick and puck - youth and adult
91,youth hockey (13 to 17 years)
92,art studio
93,bridge
94,tea and chat
95,euchre
96,cardio and weight room
97,stretch and strength
98,badminton - adult
99,pickleball - adult
100,pickleball - adult - intermediate
101,aqua therapy
102,chronic pain
103,aquafit - lite
104,women's only swim
105,public swim women's only
106,adult skate 18+
107,hockey 35+
108,hockey - child (6 to 12 years)
109,rollerblade - all ages
110,roller hockey - adult
111,roller hockey - youth
112,ball hockey 50+
113,ball hockey - child
114,figure skate 18+
115,hot tub and sauna
116,wave swim
117,qigong
118,tai chi
119,duplicate bridge
120,snooker/billiards
121,fun bridge
122,instructional bridge
123,crafts
124,discussion group
125,scrabble
126,canasta
127,cribbage
128,dominoes
129,geriatric jazz band
130,walking club
131,stick and puck youth and adult 13+
132,child hockey (ages 6 to 12)
133,vitality 50+
134,basketball
135,hockey 18+
136,lane swim - reduced capacity (shared pool)
137,public swim - reduced capacity
138,public swim with wibit
139,aquafit - general * reservations are required
140,dance
141,yin yoga
142,20-20-20
143,yoga tune up
144,cardio & strength
145,balance & stability heartwise (older adult)
146,stretch & strength
147,strength circuit
148,trx
149,volleyball adult
150,volleyball family
151,basketball family
152,open gym - child (6-12) with guardian
153,bid euchre
154,sixty six
155,shuffleboard
156,contract bridge
157,500
158,creative crafts
159,social board games
160,short mat bowling
161,lane swim - 25m pool
162,lane swim - 50m long course
163,lane swim - 50m short course
164,preschool swim - 25m pool
165,aqua general
166,aqua lite - 25m pool shallow
167,whirlpool
168,cardio
169,cardio and strength - older adult
170,yoga - older adult
171,tmc - older adult
172,"squash court 1, 2, 3, 4"
173,pick-up hockey 18+
174,curling 50+
175,curling - all ages
176,basketball - older youth
177,aqua general - shallow
178,aqua general - deep
179,strength circuit 50+
180,core conditioning 50+
181,public skate 50+
182,pick-up hockey 50+
183,lane swim - reduced capacity
184,public swim - leisure pool only
185,aqua - general
186,aquafit - shallow
187,aquafit - deep
188,20 - 20 - 20
189,sports conditioning
190,strength and balance - older adult
191,yoga - qigong
192,preschool swim - leisure pool only
193,aquafit - zumba
194,cardio 50+
195,badminton doubles - adult
196,badminton doubles - all ages
197,pickleball - rotations
198,table tennis - adult
199,table tennis doubles - adult
200,open gym - youth
201,rockwall
202,volleyball - youth
203,badminton - feather advanced
204,badminton -plastics advanced
205,youth - free play
206,volleyball
207,lane swim (shared pool)
208,preschool swim (shared pool)
209,stretch and strength 50+
210,badminton - parent with child
211,speed skate
212,half lane swim
213,hot tub and steam room
214,aquafit general - shallow
215,aquafit general - deep
216,aquafit lite
217,cardio and strength - older adult lite
218,strength tmc -older adult
219,strength tmc - older adult
220,stretch and strength - older adult
221,strength circuit - older adult
222,"squash courts 2, 3, 4, and 5"
